id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
0,31,services,married,secondary,no,12294,yes,no,cellular,21,nov,101,3,498,0,other,0
1,29,entrepreneur,single,tertiary,no,43027,no,no,cellular,22,aug,158,2,702,0,unknown,1
2,35,management,married,tertiary,no,12252,yes,no,cellular,11,nov,351,1,826,0,failure,0
3,31,technician,married,secondary,no,99121,yes,yes,unknown,16,may,658,2,120,0,failure,0
4,48,unemployed,married,primary,no,42005,yes,no,telephone,3,apr,177,1,273,0,unknown,0
5,30,blue-collar,married,primary,no,-6160,no,no,cellular,18,aug,158,1,632,0,unknown,0
6,33,blue-collar,married,secondary,no,88282,yes,no,cellular,27,may,345,1,272,0,unknown,0
7,30,admin.,single,secondary,no,59830,yes,no,cellular,27,may,184,1,639,0,unknown,0
8,32,admin.,single,secondary,no,7958,no,no,cellular,28,sep,101,1,525,0,success,0
9,31,blue-collar,married,primary,no,28066,yes,yes,unknown,15,may,345,2,433,0,unknown,0
10,57,retired,married,secondary,no,47453,no,no,telephone,6,jun,67,2,781,0,unknown,0
11,46,blue-collar,married,primary,no,95204,no,no,cellular,28,aug,158,4,471,0,unknown,0
12,48,blue-collar,married,primary,no,93108,no,no,telephone,11,aug,48,2,557,0,unknown,0
13,39,unemployed,single,tertiary,no,51281,no,no,cellular,18,aug,158,2,799,0,unknown,0
14,37,management,married,secondary,no,18874,yes,no,cellular,2,jun,184,1,551,0,unknown,0
15,31,blue-collar,single,secondary,no,98978,yes,no,unknown,16,may,345,1,561,0,unknown,0
16,31,services,married,secondary,no,37071,yes,no,cellular,12,may,523,2,831,1,failure,0
17,37,management,married,tertiary,no,79021,no,no,cellular,12,jul,158,1,102,0,unknown,0
18,30,services,married,secondary,no,6292,no,no,cellular,18,aug,158,1,851,0,unknown,0
19,32,blue-collar,married,primary,no,55015,yes,no,cellular,17,nov,101,1,615,0,unknown,0
20,28,admin.,single,secondary,no,33253,no,yes,cellular,4,aug,158,4,687,0,unknown,0
21,33,blue-collar,married,primary,no,19022,yes,no,unknown,15,may,152,1,257,0,unknown,0
22,33,management,single,tertiary,no,36359,no,yes,cellular,26,aug,158,4,68,0,unknown,0
23,32,admin.,single,secondary,no,14640,yes,no,cellular,27,may,82,1,125,1,unknown,0
24,31,technician,single,secondary,no,90317,yes,yes,unknown,16,may,245,1,17,0,unknown,0
25,35,technician,married,secondary,no,53319,no,no,cellular,28,aug,101,2,47,0,failure,0
26,32,technician,married,secondary,no,41765,yes,yes,cellular,17,apr,198,1,544,0,unknown,0
27,33,management,married,tertiary,no,17704,no,no,unknown,20,jun,64,1,267,0,unknown,0
28,32,admin.,single,secondary,no,1171,yes,no,telephone,3,apr,101,2,661,0,unknown,0
29,31,technician,divorced,secondary,no,31981,yes,no,unknown,28,may,245,3,306,0,unknown,0
30,37,retired,married,secondary,no,74312,yes,no,cellular,8,aug,48,2,134,0,unknown,0
31,30,management,married,tertiary,no,88006,no,no,cellular,18,aug,158,3,48,0,unknown,0
32,30,management,single,tertiary,no,92998,no,no,cellular,5,jul,158,2,343,0,unknown,0
33,60,retired,single,tertiary,no,75155,no,no,cellular,30,apr,101,1,527,0,failure,0
34,35,management,married,secondary,no,43980,no,yes,cellular,18,aug,48,2,128,0,unknown,0
35,34,services,married,secondary,no,87839,no,no,cellular,3,feb,101,1,234,0,failure,0
36,57,services,divorced,secondary,no,2776,no,no,cellular,18,aug,158,2,130,0,unknown,0
